,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power,Temp_diff,tool_wear_torque_product
12,1,-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928485,-1.1618205841247502,0,0,0,0,0,0,0.8295985378117923,0.4988493226094761,-0.9118456387109218
13,1,-0.7024092752447672,-0.5429545740840913,1.133586673830185,-1.0018533233685898,-1.114688540577344,0,0,0,0,0,0,-0.7561524024330615,0.5987450557551006,-1.1338220569747095
14,0,-0.7024092752447672,-0.5429545740840913,2.7679460943129346,-2.0451464503751753,-1.0675564970299374,0,0,0,0,0,0,-1.970172295805526,0.5987450557551006,-1.2491620511634165
15,0,-0.7024092752447672,-0.5429545740840913,0.017982973841959956,0.8439729782584461,-1.0361351346649998,0,0,0,0,0,0,1.4388552159961838,0.5987450557551006,-0.8073320366147745
16,1,-0.7024092752447672,-0.5429545740840913,-1.2705392996444398,0.663403013968845,-1.0047137723000623,0,0,0,0,0,0,0.11041880414537963,0.5987450557551006,-0.8011050921432369
17,1,-0.652413241617146,-0.5429545740840913,-0.7183154681502685,0.5630863671412888,-0.9575817287526558,0,0,0,0,0,0,0.4247061264687476,0.4988493226094761,-0.7682721122024025
18,2,-0.6024172079894964,-0.5429545740840913,-1.2984293921441454,1.4559045239065398,-0.9104496852052494,0,0,0,0,0,0,1.0998047919201723,0.3989535894637948,-0.5624291409785077
19,1,-0.5524211743618752,-0.47555368847852436,0.5200046388366611,-0.7510617062996991,-0.8318962792929054,0,0,0,0,0,0,-0.6796261767315483,0.39895358946385157,-0.8941200751868292
20,2,-0.5524211743618752,-0.47555368847852436,-0.9135461156482079,0.2721680913413756,-0.784764235745499,0,0,0,0,0,0,-0.1230941058445826,0.39895358946385157,-0.6503139709063445
21,0,-0.6024172079894964,-0.47555368847852436,-0.49519472815262355,0.4828330496792433,-0.706210829833155,0,0,0,0,0,0,0.48985152886080413,0.4988493226094761,-0.527968664187158
22,1,-0.5524211743618752,-0.47555368847852436,0.23552569533966383,-0.9316316705893005,-0.6747894674682174,0,0,0,0,0,0,-1.1214473975028612,0.39895358946385157,-0.8205289132504763
23,0,-0.5024251407342256,-0.4081528028729957,1.222834969829243,-1.4332149047270821,-0.627657423920811,0,0,0,0,0,0,-1.4507162001654865,0.3989535894637948,-0.9082368413467353
24,1,-0.5024251407342256,-0.4081528028729957,0.12396532534084133,-0.26954180152742907,-0.5962360615558734,0,0,0,0,0,0,-0.17089356374429804,0.3989535894637948,-0.6027627585782397
25,0,-0.5024251407342256,-0.3407519172674287,1.7973708753231787,-1.6739748571132171,-0.549104018008467,0,0,0,0,0,0,-1.6292087160869768,0.4988493226094761,-0.9247594724160991
26,0,-0.452429107106576,-0.3407519172674287,-0.1493575811562738,-0.09900350192058306,-0.5176826556435293,0,0,0,0,0,0,-0.09802686140004922,0.3989535894637948,-0.49166840834739917
27,2,-0.452429107106576,-0.4081528028729957,1.5184699503261225,-1.5435632162373938,-0.48626129327859174,0,0,0,0,0,0,-1.5125258440013234,0.2990578563181135,-0.8563692243281328
28,0,-0.452429107106576,-0.4081528028729957,-0.556552931651976,0.42264306158271003,-0.40770788736624775,0,0,0,0,0,0,0.35679400668594363,0.2990578563181135,-0.2442181263364125
29,0,-0.5024251407342256,-0.4081528028729957,0.8602637673330699,-0.991821658685834,-0.37628652500131016,0,0,0,0,0,0,-0.8837647893176227,0.3989535894637948,-0.6319869411548874
30,1,-0.452429107106576,-0.3407519172674287,-1.1143547816460884,0.8239096488929353,-0.34486516263637257,0,0,0,0,0,0,0.4486254775277593,0.3989535894637948,-0.05995717856500586
31,0,-0.5024251407342256,-0.4081528028729957,1.445955709826888,-1.4532782340925934,-0.29773311908896616,0,0,0,0,0,0,-1.385139111372036,0.3989535894637948,-0.7235867095458576
32,0,-0.5024251407342256,-0.4081528028729957,-0.6681133016507984,0.8339413135756903,-0.26631175672402857,0,0,0,0,0,0,0.8408616284663215,0.3989535894637948,0.028529117590195534
33,0,-0.5524211743618752,-0.47555368847852436,0.7040792493347183,-0.7510617062996991,-0.23489039435909095,0,0,0,0,0,0,-0.574402616391968,0.39895358946385157,-0.45717255118973377
34,1,-0.6024172079894964,-0.61035545968962,0.11280928834095907,-0.530365083279075,-0.20346903199415334,0,0,0,0,0,0,-0.5758938966876894,0.2990578563181703,-0.36023034748511484
35,1,-0.6024172079894964,-0.5429545740840913,-0.4840386911527413,0.8640363076239577,-0.15633698844674693,0,0,0,0,0,0,1.0399769811089121,0.3989535894637948,0.15855196379985753
36,1,-0.5524211743618752,-0.5429545740840913,0.23552569533966383,-0.32973178962396227,-0.10920494489934053,0,0,0,0,0,0,-0.19077076031753634,0.2990578563181703,-0.21510008485871124
37,0,-0.6024172079894964,-0.61035545968962,-0.556552931651976,-0.07894017255507152,-0.062072901351934134,0,0,0,0,0,0,-0.34911137013762866,0.2990578563181703,-0.08415734912484486
38,2,-0.5524211743618752,-0.5429545740840913,-0.8912340416484434,1.074701265961826,-0.03065153898699653,0,0,0,0,0,0,0.9760187163206867,0.2990578563181703,0.3748675234531566
39,0,-0.6024172079894964,-0.61035545968962,-1.052996578146736,1.255271230251427,0.04790186692534748,0,0,0,0,0,0,1.0701754070972789,0.2990578563181703,0.5352467239615639
40,0,-0.6024172079894964,-0.61035545968962,-0.9860603561474425,0.5430230377757772,0.07932322929028508,0,0,0,0,0,0,0.18323645121674215,0.2990578563181703,0.28853942964320384
41,0,-0.6024172079894964,-0.61035545968962,-0.9525922451477957,1.0847329306445812,0.11074459165522269,0,0,0,0,0,0,0.9347239876056002,0.2990578563181703,0.5403768770773193
42,1,-0.6024172079894964,-0.61035545968962,-0.9525922451477957,0.9141946310377358,0.1421659540201603,0,0,0,0,0,0,0.7065581023601667,0.2990578563181703,0.505951780652285
43,2,-0.6024172079894964,-0.5429545740840913,-0.9302801711480313,0.8540046429412019,0.18929799756756668,0,0,0,0,0,0,0.6450624122707967,0.3989535894637948,0.5325931964878974
44,1,-0.6024172079894964,-0.61035545968962,-0.37247832115391877,0.7536879961136456,0.2678514034799107,0,0,0,0,0,0,0.9764798358858109,0.2990578563181703,0.5741651269086736
45,0,-0.6024172079894964,-0.61035545968962,-0.2776520066549197,0.9141946310377358,0.3149834470273171,0,0,0,0,0,0,1.2894426658412688,0.2990578563181703,0.6970411391225938
46,1,-0.652413241617146,-0.677756345295187,1.6969665423242386,-1.4231832400443263,0.3464048093922547,0,0,0,0,0,0,-1.2183119393427375,0.2990578563181703,-0.3398866368536713
47,0,-0.6024172079894964,-0.61035545968962,-0.6736913201507395,0.6333080199205777,0.3935368529396611,0,0,0,0,0,0,0.5578813812985339,0.2990578563181703,0.6521434542681551
48,2,-0.6024172079894964,-0.5429545740840913,-0.6346451906511517,1.3957145358100058,0.4249582153045987,0,0,0,0,0,0,1.6522162198847483,0.3989535894637948,1.0479082318739454
49,1,-0.5524211743618752,-0.5429545740840913,-0.7071594311503863,0.4126113968999543,0.5035116212169427,0,0,0,0,0,0,0.22585567229973952,0.2990578563181703,0.6578396932449595
50,0,-0.5524211743618752,-0.61035545968962,7.375389375264303,-3.54989615278852,0.5506436647643491,1,0,0,1,0,0,-4.592215875758368,0.19916212317254572,-1.2938120734536458
51,0,-0.5524211743618752,-0.61035545968962,-0.8689219676486789,1.496031182637562,0.5820650271292868,0,0,0,0,0,0,1.565800451169501,0.19916212317254572,1.2899099374723368
52,2,-0.6024172079894964,-0.677756345295187,-0.23302785865539066,0.382516402851687,0.6134863894942243,0,0,0,0,0,0,0.5495616070171384,0.19916212317248896,0.751456142515916
53,0,-0.652413241617146,-0.677756345295187,0.14627739934060582,-0.49023842454805255,0.6920397954065683,0,0,0,0,0,0,-0.49405007940537926,0.2990578563181703,0.36106918059009013
54,0,-0.652413241617146,-0.677756345295187,0.8491077303331875,-0.991821658685834,0.723461157771506,0,0,0,0,0,0,-0.8896710441730469,0.2990578563181703,0.1134773771138415
55,0,-0.6024172079894964,-0.61035545968962,-0.1493575811562738,0.07153479768626296,0.7548825201364435,0,0,0,0,0,0,0.15415648545016777,0.2990578563181703,0.7198260950298109
56,0,-0.6024172079894964,-0.61035545968962,-0.3445882286542132,0.24207309729310825,0.7863038825013812,0,0,0,0,0,0,0.2607437823759669,0.2990578563181703,0.8436573771342506
57,0,-0.6024172079894964,-0.61035545968962,-0.14377956265633265,0.03140813895523986,0.8177252448663187,0,0,0,0,0,0,0.09877308236234127,0.2990578563181703,0.7547818969495783
58,1,-0.6024172079894964,-0.677756345295187,0.6817671753349538,-1.0520116467823681,0.8491466072312563,0,0,0,0,0,0,-1.0760418369199631,0.19916212317248896,0.16428358314297725
59,0,-0.6024172079894964,-0.61035545968962,-0.8968120601483845,1.445872859223784,0.8962786507786628,0,0,0,0,0,0,1.471270940318978,0.2990578563181703,1.6491975574067905
60,0,-0.6024172079894964,-0.61035545968962,-0.8131417826492676,1.265302894934183,0.9277000131436004,0,0,0,0,0,0,1.3053267632016208,0.2990578563181703,1.5813380148135578
61,1,-0.6024172079894964,-0.677756345295187,0.2968838988390162,-0.17925681938262783,0.9591213755085379,0,0,0,0,0,0,0.08312445031184026,0.19916212317248896,0.7575415655221915
62,0,-0.6024172079894964,-0.677756345295187,1.618874283325063,-1.7141015158442399,1.0062534190559445,0,0,0,0,0,0,-1.7741376143001504,0.19916212317248896,-0.13298225464030994
63,1,-0.5524211743618752,-0.677756345295187,1.5240479688260637,-1.4131515753615709,1.037674781420882,0,0,0,0,0,0,-1.2790031229567842,0.09926639002686442,0.0679074652994072
64,0,-0.5024251407342256,-0.61035545968962,-0.08799937765692141,-0.13913016065160544,1.0848068249682883,0,0,0,0,0,0,-0.11570638174801387,0.09926639002686442,0.8907132643339378
65,0,-0.5024251407342256,-0.61035545968962,-0.8075637641493265,0.5129280437275106,1.116228187333226,0,0,0,0,0,0,0.2847416218715958,0.09926639002686442,1.32967746921102
66,1,-0.5524211743618752,-0.7451572309007539,0.782171508333894,-1.1322649642444131,1.1476495496981636,0,0,0,0,0,0,-1.1557272221953083,-0.0006293431188168923,0.31135976591673636
67,2,-0.6024172079894964,-0.7451572309007539,-0.4059464321535655,0.4126113968999543,1.19478159324557,0,0,0,0,0,0,0.45949612599920453,0.09926639002680764,1.344360321231975
68,0,-0.6024172079894964,-0.7451572309007539,-0.06568730365715691,-0.7610933709824549,1.273334999157914,0,0,0,0,0,0,-1.0294098945149261,0.09926639002680764,0.64000798862192
69,0,-0.5524211743618752,-0.677756345295187,-0.7183154681502685,2.5794509683751707,1.3047563615228517,1,0,0,1,1,0,3.205257104169493,0.09926639002686442,2.9132319047625983
70,1,-0.5524211743618752,-0.677756345295187,2.14878604081947,-1.7441965098925065,1.3361777238877892,0,0,0,0,0,0,-1.617327528994088,0.09926639002686442,0.016676694874484848
71,0,-0.5524211743618752,-0.61035545968962,-0.4840386911527413,0.5530547024585329,1.3833097674351955,0,0,0,0,0,0,0.5983617924837196,0.19916212317254572,1.628676944943769
72,0,-0.5524211743618752,-0.61035545968962,-0.9470142266478546,0.4427063909482209,1.4147311298001333,0,0,0,0,0,0,0.08010264550208793,0.19916212317254572,1.583814640455646
73,0,-0.5024251407342256,-0.61035545968962,0.2968838988390162,-0.5002700892308083,1.4461524921650708,0,0,0,0,0,0,-0.41668991406481126,0.09926639002686442,0.9500815190114379
74,0,-0.5524211743618752,-0.677756345295187,0.34708606533848635,-0.7711250356652106,1.4775738545300083,0,0,0,0,0,0,-0.809887548351932,0.09926639002686442,0.7818832575472927
75,0,-0.6024172079894964,-0.7451572309007539,-0.8912340416484434,0.6734346786516008,1.508995216894946,0,0,0,0,0,0,0.4348409458469098,0.09926639002680764,1.844072615072864
76,0,-0.6024172079894964,-0.7451572309007539,-0.43383652465327116,0.793814654844668,1.5404165792598836,0,0,0,0,0,0,0.9825528786690458,0.09926639002680764,1.9645781427436413
77,0,-0.6024172079894964,-0.7451572309007539,-0.4673046356529179,0.13172478578279617,1.5718379416248212,1,1,0,0,0,0,0.012200336773860202,0.09926639002680764,1.5127708648940132
78,0,-0.6024172079894964,-0.7451572309007539,-0.785251690149562,1.1549545834238708,-1.6959837443286896,0,0,0,0,0,0,1.1802554394525322,0.09926639002680764,-1.526544123077362
79,0,-0.6024172079894964,-0.7451572309007539,-0.7629396161497976,-0.20935181343089515,-1.6645623819637518,0,0,0,0,0,0,-0.6702271864466707,0.09926639002680764,-1.4997258054101719
80,2,-0.6024172079894964,-0.8125581165062826,-0.5230848206523292,0.9944479484997806,-1.6331410195988143,0,0,0,0,0,0,1.1909004336687041,-0.0006293431188168923,-1.4559249119115156
81,0,-0.5524211743618752,-0.7451572309007539,-0.49519472815262355,0.7536879961136456,-1.5545876136864702,0,0,0,0,0,0,0.8739543155549376,-0.0006293431188168923,-1.3752930570783675
82,0,-0.5524211743618752,-0.7451572309007539,-0.4784606726528002,0.08156646236901802,-1.5231662513215327,0,0,0,0,0,0,-0.06718090580959377,-0.0006293431188168923,-1.3677570390531544
83,0,-0.5024251407342256,-0.677756345295187,-0.38921237665374214,0.011344809589729025,-1.491744888956595,0,0,0,0,0,0,-0.10402141574666761,-0.0006293431188168923,-1.3421062734743774
84,0,-0.5524211743618752,-0.7451572309007539,-0.651379246150975,0.7637196607964014,-1.4603235265916574,0,0,0,0,0,0,0.7574186092879409,-0.0006293431188168923,-1.2739283075843044
85,1,-0.5024251407342256,-0.677756345295187,1.4794238208265347,-1.32286659321677,-1.42890216422672,0,0,0,0,0,0,-1.1400393459264972,-0.0006293431188168923,-1.3653511741436968
86,2,-0.5024251407342256,-0.677756345295187,-0.5732869871517993,0.3925480675344427,-1.3817701206793134,0,0,0,0,0,0,0.30151852519846595,-0.0006293431188168923,-1.2159045068267955
87,0,-0.5024251407342256,-0.677756345295187,0.029139010841842207,-0.8212833590789884,-1.3032167147669695,0,0,0,0,0,0,-1.066260215506577,-0.0006293431188168923,-1.2452702108687055
88,1,-0.5024251407342256,-0.677756345295187,-0.6681133016507984,0.5229597084102664,-1.2717953524020318,0,0,0,0,0,0,0.4092831486735199,-0.0006293431188168923,-1.0947621325623376
89,1,-0.5524211743618752,-0.7451572309007539,-0.2888080436548019,-0.04884517850680491,-1.2246633088546255,0,0,0,0,0,0,-0.12073945274607521,-0.0006293431188168923,-1.1072867822380437
90,0,-0.5524211743618752,-0.7451572309007539,1.1949448773295372,-1.4231832400443263,-1.177531265307219,0,0,0,0,0,0,-1.4461246266233956,-0.0006293431188168923,-1.2253156842667328
91,0,-0.5524211743618752,-0.7451572309007539,1.6244523018250039,-1.5134682221891271,-1.1461099029422814,0,0,0,0,0,0,-1.412806285279506,-0.0006293431188168923,-1.2182042306373064
92,1,-0.5524211743618752,-0.7451572309007539,1.049916396331068,-1.2927715991685031,-1.114688540577344,0,0,0,0,0,0,-1.2916691944158414,-0.0006293431188168923,-1.1717851900312992
93,0,-0.452429107106576,-0.677756345295187,-0.49519472815262355,0.3022630853896422,-1.0675564970299374,0,0,0,0,0,0,0.23378300439804967,-0.1005250762644982,-0.9180018224498283
94,0,-0.5024251407342256,-0.7451572309007539,0.46422445383725,-0.811251694396233,-1.0361351346649998,0,0,0,0,0,0,-0.8069932872516825,-0.1005250762644982,-1.0525179751815656
95,1,-0.5024251407342256,-0.677756345295187,-1.0474185596467949,1.2251762362031606,-1.0047137723000623,0,0,0,0,0,0,1.0355620065492095,-0.0006293431188168923,-0.7139278695417112
96,1,-0.5024251407342256,-0.677756345295187,0.20205758434001708,-0.4701750951825417,-0.9575817287526558,0,0,0,0,0,0,-0.42870845592178036,-0.0006293431188168923,-0.9395484655360009
97,1,-0.5524211743618752,-0.7451572309007539,1.178210821829714,-1.0118849880513456,-0.9104496852052494,0,0,0,0,0,0,-0.7497752169579354,-0.0006293431188168923,-0.9976076466598255
98,0,-0.5524211743618752,-0.8125581165062826,-0.05453126665727467,-0.7309983769341876,-0.863317641657843,0,0,0,0,0,0,-0.9780490238037176,-0.10052507626444142,-0.9133669944624906
99,0,-0.6024172079894964,-0.8125581165062826,-0.08799937765692141,0.4427063909482209,-0.8318962792929054,0,0,0,0,0,0,0.7509433132670437,-0.0006293431188168923,-0.6625555776515264
100,0,-0.6024172079894964,-0.7451572309007539,1.7471687088237087,-1.5034365575063715,-0.8004749169279678,0,0,0,0,0,0,-1.340891255229238,0.09926639002680764,-1.0223739030807135
101,0,-0.6024172079894964,-0.8125581165062826,2.522513280315525,-1.9347981388648636,-0.7690535545630302,0,0,0,0,0,0,-1.8399109241851432,-0.0006293431188168923,-1.0944437092654975
102,0,-0.6024172079894964,-0.8125581165062826,0.09049721434119458,0.06150313300350718,-0.7376321921980926,0,0,0,0,0,0,0.3106035617368762,-0.0006293431188168923,-0.6503139709063447
103,1,-0.6024172079894964,-0.8125581165062826,-0.5453968946520936,0.05147146832075141,-0.706210829833155,0,0,0,0,0,0,-0.15762901795603534,-0.0006293431188168923,-0.6238140765359944
104,0,-0.6024172079894964,-0.8799590021118496,-0.49519472815262355,0.3423897441206646,-0.6590787862857486,0,0,0,0,0,0,0.2906871209453286,-0.1005250762644982,-0.513108910334625
105,0,-0.6024172079894964,-0.8799590021118496,0.29130588033907506,-0.8915050118582778,-0.627657423920811,0,0,0,0,0,0,-1.028889908622338,-0.1005250762644982,-0.7783201362360199
106,0,-0.6024172079894964,-0.8799590021118496,-0.5230848206523292,0.8540046429412019,-0.5962360615558734,0,0,0,0,0,0,0.9924227995736261,-0.1005250762644982,-0.32538068666429404
107,1,-0.6024172079894964,-0.8125581165062826,-0.23302785865539066,0.6834663433343559,-0.5648146991909357,0,0,0,0,0,0,0.9901760680754654,-0.0006293431188168923,-0.33436729970844487
108,2,-0.5524211743618752,-0.8125581165062826,0.4586464353373088,-0.7309983769341876,-0.5176826556435293,0,0,0,0,0,0,-0.682893257905728,-0.10052507626444142,-0.6588406391883932
109,0,-0.5524211743618752,-0.8799590021118496,0.1853235288401937,-0.5905550713756088,-0.4391292497311854,0,0,0,0,0,0,-0.6241740962616823,-0.20042080941012275,-0.5613677299890412
110,0,-0.6024172079894964,-0.9473598877173782,1.8587290788225312,-1.7542281745752621,-0.40770788736624775,0,0,0,0,0,0,-1.750993336552731,-0.20042080941012275,-0.8737763645553854
111,2,-0.652413241617146,-0.9473598877173782,-0.22187182165550842,0.3524214088034203,-0.37628652500131016,0,0,0,0,0,0,0.5140357783933984,-0.10052507626444142,-0.23374553790700844
112,1,-0.6024172079894964,-0.8799590021118496,-0.22744984015544953,-0.04884517850680491,-0.29773311908896616,0,0,0,0,0,0,-0.0781104206085016,-0.1005250762644982,-0.28274734525405115
113,1,-0.6024172079894964,-0.9473598877173782,-0.29438606215474306,0.1919147738793301,-0.25060107554155975,0,0,0,0,0,0,0.22528663113426642,-0.20042080941012275,-0.16270176234537553
114,0,-0.6024172079894964,-0.9473598877173782,0.7877495268338351,-1.0620433114651238,-0.20346903199415334,0,0,0,0,0,0,-1.0375334477047786,-0.20042080941012275,-0.5383704918839308
115,0,-0.6024172079894964,-0.9473598877173782,-0.6011770796515049,0.5731180318240445,-0.17204766962921575,0,0,0,0,0,0,0.5326964041990755,-0.20042080941012275,0.041832135324844075
116,0,-0.5524211743618752,-0.8799590021118496,0.14069938084066472,-0.5905550713756088,-0.14062630726427813,0,0,0,0,0,0,-0.650938653148058,-0.20042080941012275,-0.33213833663056486
117,0,-0.6024172079894964,-0.9473598877173782,0.3359300283386041,-0.7009033828859209,-0.10920494489934053,0,0,0,0,0,0,-0.706410355727078,-0.20042080941012275,-0.3473165137799377
118,1,-0.6024172079894964,-0.9473598877173782,0.9383560263322456,-1.1924549523409467,-0.07778358253440293,0,0,0,0,0,0,-1.1773704085924277,-0.20042080941012275,-0.5025301808062743
119,0,-0.652413241617146,-1.0147607733229451,-0.4003684136536244,0.07153479768626296,-0.03065153898699653,0,0,0,0,0,0,-0.025532979129731143,-0.20042080941012275,-0.00016435949171879778
120,0,-0.5524211743618752,-0.8799590021118496,-0.5900210426516227,0.4728013849964882,0.0007698233779410749,0,0,0,0,0,0,0.40107129599247315,-0.20042080941012275,0.18147844117233677
121,0,-0.5524211743618752,-0.8799590021118496,0.10723126984101795,0.12169312110004112,0.03219118574287868,0,0,0,0,0,0,0.4142671643986956,-0.20042080941012275,0.07689407834355817
122,0,-0.5024251407342256,-0.8125581165062826,-1.276117318144381,1.074701265961826,0.06361254810781627,0,0,0,0,0,0,0.6327985940494004,-0.20042080941012275,0.4824945977850727
123,0,-0.5524211743618752,-0.8799590021118496,0.040295047841724455,0.3423897441206646,0.09503391047275388,0,0,0,0,0,0,0.699454898846333,-0.20042080941012275,0.2239348807510016
124,0,-0.5524211743618752,-0.8799590021118496,1.049916396331068,-1.0620433114651238,0.12645527283769148,0,0,0,0,0,0,-0.9019642955581756,-0.20042080941012275,-0.3199321102516988
125,0,-0.5524211743618752,-0.9473598877173782,0.11838730684090021,-0.7811567003479657,0.1578766352026291,0,0,0,0,0,0,-0.9551205892569946,-0.30031654255574725,-0.18223172455156128
126,0,-0.5024251407342256,-0.9473598877173782,-1.1701349666454997,2.0578044048718778,0.18929799756756668,0,0,0,0,0,0,2.0051198530236487,-0.4002122757014286,1.0420704714318791
127,0,-0.5524211743618752,-0.9473598877173782,-0.7015814126504452,0.6533713492860893,0.2207193599325043,0,0,0,0,0,0,0.5628948301874414,-0.30031654255574725,0.4805840580040326
128,0,-0.5024251407342256,-0.9473598877173782,0.2689938063393106,-0.13913016065160544,0.2521407222974419,0,0,0,0,0,0,0.12666591052508605,-0.4002122757014286,0.16690173025032848
129,0,-0.5524211743618752,-1.0147607733229451,0.11280928834095907,-0.570491742010098,0.2835620846623795,0,0,0,0,0,0,-0.637075633030592,-0.4002122757014286,0.0025245483482628133
130,0,-0.6024172079894964,-1.0821616589285121,-0.36690030265397766,0.11166145641728534,0.3149834470273171,0,0,0,0,0,0,0.056232349715962554,-0.4002122757014854,0.3347461880513179
131,0,-0.6024172079894964,-1.0821616589285121,1.1056965813304793,-1.2325816110719694,0.3464048093922547,0,0,0,0,0,0,-1.1628304257091404,-0.4002122757014854,-0.2524971320542522
132,1,-0.652413241617146,-1.0821616589285121,-0.5453968946520936,0.3223264147551537,0.3778261717571923,0,0,0,0,0,0,0.22408968247585845,-0.30031654255580403,0.4909858857008057
133,1,-0.652413241617146,-1.0821616589285121,-0.606755098151446,0.964352954451514,0.4249582153045987,0,0,0,0,0,0,1.0753752660231508,-0.30031654255580403,0.8425252054121529
134,0,-0.6024172079894964,-1.0821616589285121,-0.9470142266478546,1.3054295536652054,0.4720902588520051,0,0,0,0,0,0,1.2351973450843876,-0.4002122757014854,1.0611758692422784
135,1,-0.6024172079894964,-1.0147607733229451,0.9606681003320101,-1.1523282936099244,0.5035116212169427,0,0,0,0,0,0,-1.0991959257219595,-0.30031654255580403,-0.11486750708674605
136,2,-0.652413241617146,-1.0147607733229451,-0.6625352831508573,0.5731180318240445,0.5506436647643491,0,0,0,0,0,0,0.4833762328399083,-0.20042080941012275,0.7855981960104262
137,0,-0.652413241617146,-0.9473598877173782,-1.3486315586436157,1.5361578413685846,0.6291970706766932,0,0,0,0,0,0,1.1534810715115789,-0.10052507626444142,1.3691265776528627
138,2,-0.6024172079894964,-0.9473598877173782,-0.5007727466525647,0.9442896250860024,0.6606184330416307,0,0,0,0,0,0,1.1394022081934159,-0.20042080941012275,1.0951410209052106
139,0,-0.6024172079894964,-0.9473598877173782,-1.5103940951419084,1.5863161647823627,0.7391718389539748,0,0,0,0,0,0,1.058343275277275,-0.20042080941012275,1.5335037595549281
140,0,-0.6024172079894964,-0.9473598877173782,-0.15493559965621492,-0.38992177772049624,0.7705932013189124,0,0,0,0,0,0,-0.5317637731998174,-0.20042080941012275,0.47870889858930815
141,0,-0.652413241617146,-1.0147607733229451,0.029139010841842207,-0.48020675986529676,0.8020145636838499,0,0,0,0,0,0,-0.5512190944262401,-0.20042080941012275,0.4536242188715803
142,1,-0.7024092752447672,-1.0821616589285121,1.3343953398280655,-1.1824232876581913,0.8334359260487876,0,0,0,0,0,0,-0.9641860036862516,-0.20042080941017953,0.07979526838143357
143,2,-0.7024092752447672,-1.0821616589285121,-0.7350495236500919,1.0546379365963146,0.880567969596194,0,0,0,0,0,0,1.0876881395174327,-0.20042080941017953,1.403657815176844
144,1,-0.7024092752447672,-1.0821616589285121,-0.8242978196491499,0.24207309729310825,0.9591213755085379,0,0,0,0,0,0,-0.09700651172402891,-0.20042080941017953,1.0086714056299957
145,0,-0.7524053088724167,-1.0821616589285121,-0.14377956265633265,-0.640713394789387,1.0062534190559445,0,0,0,0,0,0,-0.8957833311745911,-0.1005250762644982,0.5181580070311511
146,2,-0.7524053088724167,-1.0821616589285121,0.4084442688378387,-0.38992177772049624,1.037674781420882,0,0,0,0,0,0,-0.17404291226355176,-0.1005250762644982,0.695838206667865
147,0,-0.8024013425000663,-1.0821616589285121,-0.13262352565645041,0.011344809589729025,1.116228187333226,0,0,0,0,0,0,0.0769532969828335,-0.0006293431188168923,1.0130231906868092
148,1,-0.8523973761276875,-1.149562544534041,-0.8912340416484434,0.8038463195274238,1.1476495496981636,0,0,0,0,0,0,0.610723721250887,-0.0006293431188168923,1.5473021024179943
